"","region_name","state_name","lat_max","lat_min","lng_max","lng_min","lat_avg","lng_avg","yearly_sunlight_kwh_kw_threshold_avg","count_qualified","percent_covered","percent_qualified","number_of_panels_n","number_of_panels_s","number_of_panels_e","number_of_panels_w","number_of_panels_f","number_of_panels_median","number_of_panels_total","kw_median","kw_total","yearly_sunlight_kwh_n","yearly_sunlight_kwh_s","yearly_sunlight_kwh_e","yearly_sunlight_kwh_w","yearly_sunlight_kwh_f","yearly_sunlight_kwh_median","yearly_sunlight_kwh_total","install_size_kw_buckets_json","carbon_offset_metric_tons","existing_installs_count"
"44232",48441010600,"Texas",32.47090149,32.46086884,-99.75778198,-99.78450775,32.46582031,-99.76967621,"1252.9",1502,99.73804846,98.62114248,11307,17079,18994,24427,29769,"55","101576","13.75","25394",3821387.709,6898034.735,6669034.917,9082442.241,11159920.45,"20594.89072","37630820.06","[[0,78],[5,292],[10,482],[15,351],[20,194],[25,52],[30,15],[35,5],[40,6],[45,5],[50,1],[55,2],[65,2],[70,1],[75,2],[80,1],[85,1],[115,1],[125,1],[140,1],[150,2],[165,1],[170,3],[445,1],[505,1],[1000,1]]",18299.35784,0
"44233",48441010700,"Texas",32.47005844,32.4607811,-99.7396698,-99.75785065,32.46554184,-99.74894714,"1252.9",1263,98.68804665,93.27917282,1463,5385,10372,15246,18581,"28","51047","7","12761.75",479702.2274,2195882.558,3607379.552,5664396.32,6996521.605,"10305.75818","18943882.26","[[0,294],[5,665],[10,217],[15,52],[20,11],[25,4],[30,2],[35,1],[40,4],[50,4],[55,1],[110,1],[125,1],[150,1],[175,1],[315,1],[410,1],[615,1],[680,1]]",9212.153226,0
"44234",48441010800,"Texas",32.47457886,32.45994186,-99.71711731,-99.74059296,32.46572876,-99.72859192,"1252.9",850,99.0516333,90.42553191,1757,10239,5377,6723,30382,"30","54478","7.5","13619.5",568823.4657,4164772.03,1856016.505,2470220.752,11426581.9,"11288.64404","20486414.65","[[0,213],[5,350],[10,126],[15,46],[20,21],[25,18],[30,9],[35,7],[40,13],[45,4],[50,6],[55,4],[60,3],[65,4],[70,4],[75,2],[80,1],[85,1],[90,1],[100,3],[105,2],[110,2],[130,2],[145,1],[190,1],[265,3],[425,1],[525,1],[995,1]]",9962.265823,0
"44235",48441010900,"Texas",32.45996857,32.43484116,-99.67913055,-99.72647095,32.44807434,-99.70353699,"1252.901662",1841,99.38271605,95.28985507,8991,30417,24909,34036,87143,"55","185496","13.75","46374",2910594.543,12271557.38,8683188.847,12488828.03,32746978.09,"20233.59673","69101146.89","[[0,163],[5,393],[10,449],[15,282],[20,169],[25,109],[30,63],[35,28],[40,35],[45,16],[50,19],[55,13],[60,16],[65,8],[70,7],[75,2],[80,7],[85,6],[90,1],[95,2],[100,3],[110,4],[115,3],[125,4],[130,2],[135,2],[145,2],[160,1],[170,4],[195,3],[215,2],[220,1],[235,1],[245,2],[255,1],[265,1],[285,1],[295,1],[305,1],[320,1],[410,1],[435,1],[470,1],[480,2],[515,1],[545,1],[600,1],[650,1],[755,1],[880,1],[920,1],[995,1]]",33602.9513,1
"44236",48441011000,"Texas",32.46107101,32.44802094,-99.72229004,-99.74172211,32.45465851,-99.73197937,"1252.9",773,99.51807229,93.58353511,1997,10030,6002,6874,93241,"51","118144","12.75","29536",644520.2097,4088248.036,2066630.52,2493568.006,34833129.36,"19580.02061","44126096.13","[[0,104],[5,207],[10,109],[15,51],[20,28],[25,34],[30,19],[35,17],[40,19],[45,18],[50,15],[55,16],[60,11],[65,12],[70,18],[75,7],[80,6],[85,4],[90,7],[95,5],[100,9],[105,4],[110,1],[115,3],[120,1],[125,4],[130,2],[135,1],[140,2],[145,4],[150,4],[155,2],[165,2],[170,1],[180,2],[185,1],[190,2],[200,1],[205,1],[215,4],[240,1],[280,1],[295,1],[300,1],[315,2],[320,1],[330,1],[335,1],[415,1],[470,1],[495,1],[520,1],[995,2]]",21457.92257,1
"44237",48441011200,"Texas",32.46181107,32.44960022,-99.74060059,-99.7579422,32.45558548,-99.74938202,"1252.9",1035,99.01610018,93.49593496,2705,10074,6801,9703,43288,"35","72571","8.75","18142.75",877313.0209,4096266.982,2373709.742,3591552.538,16260883.98,"13240.50935","27199726.26","[[0,196],[5,396],[10,234],[15,93],[20,24],[25,12],[30,9],[35,8],[40,9],[45,5],[50,5],[55,3],[60,2],[65,4],[75,1],[80,6],[85,1],[90,4],[95,1],[100,1],[105,2],[110,1],[125,1],[130,1],[145,1],[150,1],[210,1],[215,1],[220,2],[295,1],[335,1],[345,1],[365,1],[375,1],[380,1],[405,1],[435,1],[525,1],[800,1]]",13226.85828,0
"44238",48441011300,"Texas",32.46203995,32.45064163,-99.75779724,-99.78607941,32.45663452,-99.77153778,"1252.9",1491,99.86868024,98.02761341,7104,14711,16478,19589,79658,"53","137540","13.25","34385",2308227.184,5969905.548,5812493.772,7316002.54,29961531.4,"19838.4123","51368160.45","[[0,63],[5,298],[10,536],[15,271],[20,126],[25,46],[30,19],[35,19],[40,15],[45,9],[50,4],[55,4],[60,6],[65,6],[70,5],[75,7],[80,5],[85,3],[90,2],[95,4],[105,3],[110,2],[115,1],[120,1],[125,3],[130,2],[140,4],[150,1],[155,1],[160,2],[165,1],[170,1],[175,1],[180,2],[185,1],[195,1],[205,1],[225,1],[235,1],[265,1],[325,1],[330,1],[335,1],[370,1],[425,1],[440,1],[480,1],[515,1],[535,1],[590,1],[655,1],[1000,1]]",24979.64031,0
"44239",48441011400,"Texas",32.45285034,32.42699814,-99.76766205,-99.78716278,32.4421196,-99.77897644,"1252.959626",1809,99.94750656,95.0105042,8207,13303,14089,17438,86532,"45","139569","11.25","34892.25",2701758.88,5370360.221,5025994.277,6504876.567,32533333.62,"16954.33595","52136323.57","[[0,196],[5,544],[10,492],[15,262],[20,129],[25,60],[30,24],[35,22],[40,7],[45,6],[50,4],[55,2],[60,3],[65,3],[70,2],[75,2],[80,3],[85,1],[90,1],[95,2],[100,4],[105,3],[110,2],[115,1],[120,3],[125,3],[130,2],[135,2],[150,1],[160,1],[165,1],[175,1],[190,2],[200,1],[210,1],[215,1],[225,1],[235,1],[250,2],[265,1],[300,1],[360,1],[370,1],[415,1],[605,1],[635,1],[670,1],[695,1],[1000,2]]",25353.18762,1
"44240",48441011500,"Texas",32.45167923,32.43220901,-99.75791931,-99.77519989,32.44127274,-99.7648468,"1252.9",1285,99.57142857,92.18077475,3105,13027,10982,14528,20667,"31","62309","7.75","15577.25",1007578.658,5265003.178,3797409.552,5311256.15,7744064.737,"11600.64571","23125312.27","[[0,325],[5,483],[10,236],[15,105],[20,47],[25,26],[30,14],[35,6],[40,5],[45,7],[50,3],[55,6],[60,2],[65,3],[70,1],[75,3],[80,1],[85,1],[90,1],[95,2],[105,1],[125,1],[155,1],[170,2],[180,1],[250,1],[640,1]]",11245.52598,1
"44241",48441011600,"Texas",32.44367981,32.43210983,-99.74282074,-99.75945282,32.43774414,-99.75118256,"1252.9",1174,99.84301413,92.29559748,2138,13959,6812,10571,16713,"30","50193","7.5","12548.25",691959.5343,5644868.967,2343523.864,3880501.15,6276920.023,"11039.31638","18837773.54","[[0,299],[5,492],[10,236],[15,80],[20,26],[25,10],[30,3],[35,3],[40,5],[45,5],[50,2],[55,1],[60,3],[70,4],[75,1],[80,1],[255,1],[280,1],[995,1]]",9160.553991,0
"44242",48441011700,"Texas",32.45064163,32.4417305,-99.72366333,-99.75805664,32.44620895,-99.74152374,"1252.917191",1045,99.13569576,91.10723627,2363,12289,8700,10414,67695,"34","101461","8.5","25365.25",756584.8997,5005088.93,3035218.848,3789384.58,25436728.72,"12825.32648","38023005.98","[[0,214],[5,394],[10,158],[15,66],[20,29],[25,20],[30,20],[35,14],[40,11],[45,16],[50,9],[55,9],[60,4],[65,9],[70,4],[75,5],[80,4],[85,3],[90,2],[95,1],[100,2],[105,2],[110,3],[115,1],[120,3],[125,1],[130,3],[140,1],[145,4],[150,1],[155,3],[160,1],[165,1],[170,2],[175,1],[180,1],[185,1],[190,2],[210,1],[225,3],[230,1],[240,1],[245,3],[250,1],[280,2],[285,1],[290,1],[315,1],[430,1],[485,1],[520,1],[770,1],[1000,1]]",18490.07254,0
"44243",48441011900,"Texas",32.44290924,32.43143082,-99.72601318,-99.74326324,32.43714142,-99.73480225,"1252.9",1030,99.47961839,89.7994769,2493,12724,5281,7075,48555,"28","76128","7","19032",810102.7675,5168138.744,1833514.909,2588636.237,18333275.85,"10678.61993","28733668.51","[[0,278],[5,409],[10,125],[15,40],[20,22],[25,21],[30,12],[35,13],[40,11],[45,10],[50,9],[55,9],[60,6],[65,7],[70,8],[75,2],[80,5],[85,4],[90,3],[95,2],[100,1],[105,3],[110,2],[115,1],[120,2],[125,2],[130,4],[135,2],[140,2],[145,2],[165,2],[170,1],[195,2],[200,1],[210,1],[230,1],[235,1],[345,3],[910,1]]",13972.79361,0
"44244",48441012000,"Texas",32.43700027,32.39080048,-99.68740845,-99.72676086,32.42107391,-99.71140289,"1252.922375",982,99.04942966,94.24184261,3181,21097,13890,18496,43036,"60","99700","15","24925",1036723.358,8273852.327,4753092.348,6675974.899,16121843.81,"21793.11285","36861486.74","[[0,90],[5,190],[10,212],[15,171],[20,111],[25,65],[30,38],[35,24],[40,11],[45,9],[50,10],[55,2],[60,5],[65,5],[70,4],[75,2],[80,3],[90,1],[100,2],[105,2],[110,1],[115,1],[120,1],[125,1],[135,2],[140,1],[150,1],[165,1],[185,3],[195,1],[235,1],[265,1],[295,1],[320,2],[325,1],[355,2],[500,1],[995,2],[1000,1]]",17925.24147,1
"44245",48441012100,"Texas",32.42350006,32.41558075,-99.70815277,-99.72518921,32.41954041,-99.7167511,"1252.9",69,98.68421053,92,624,867,498,595,21415,"243","23999","60.75","5999.75",208684.4335,348202.4039,170812.0179,218813.0614,8089745.351,"92459.91211","9036257.268","[[0,3],[5,3],[10,3],[15,3],[20,4],[25,4],[30,2],[35,3],[40,2],[45,2],[50,4],[55,1],[60,4],[65,1],[70,3],[80,1],[85,3],[90,3],[105,3],[110,2],[115,4],[120,1],[140,1],[175,1],[180,1],[225,1],[245,1],[275,1],[280,1],[340,1],[350,1],[540,1]]",4394.209454,0
"44246",48441012200,"Texas",32.43212891,32.38739014,-99.72196198,-99.74329376,32.4105835,-99.73383331,"1252.900588",1272,99.29873773,89.83050847,4331,13292,8821,11809,75943,"35","114196","8.75","28549",1417403.587,5375548.869,3093749.517,4348716.477,28591349.72,"13068.14321","42826768.17","[[0,287],[5,415],[10,188],[15,85],[20,48],[25,24],[30,25],[35,22],[40,16],[45,15],[50,19],[55,11],[60,16],[65,10],[70,10],[75,8],[80,7],[85,5],[90,5],[95,4],[100,4],[105,4],[110,8],[115,5],[120,1],[125,4],[130,2],[135,1],[140,2],[145,1],[150,1],[165,1],[175,1],[180,3],[190,2],[210,2],[215,1],[230,1],[240,1],[290,1],[295,1],[325,1],[395,1],[425,1],[545,1],[1000,1]]",20826.07699,0
"44247",48441012300,"Texas",32.43220901,32.41503143,-99.74233246,-99.75955963,32.42419052,-99.75081635,"1252.9",1490,99.81060606,94.24414927,6184,15012,12868,18199,46014,"33","98277","8.25","24569.25",2006892.086,6051932.761,4491250.068,6766911.455,17279190.24,"12377.77803","36596176.61","[[0,306],[5,585],[10,305],[15,109],[20,52],[25,20],[30,14],[35,7],[40,9],[45,15],[50,4],[55,7],[60,2],[65,3],[70,3],[75,3],[80,1],[85,5],[90,2],[95,3],[100,3],[105,2],[110,1],[115,1],[125,3],[130,1],[135,2],[150,1],[155,1],[160,1],[165,2],[170,1],[185,2],[205,1],[210,1],[220,1],[240,2],[245,1],[255,1],[330,1],[365,1],[370,1],[375,1],[515,1],[560,1],[760,1]]",17796.22475,0
"44248",48441012400,"Texas",32.4173584,32.38747025,-99.74185944,-99.76663971,32.40583038,-99.7514801,"1252.9",1214,99.91922456,98.14066289,9727,21062,9392,13426,111569,"54","165176","13.5","41294",3174098.611,8498228.449,3294278.304,4977612.845,42034284.2,"19719.60986","61978502.41","[[0,59],[5,257],[10,379],[15,198],[20,79],[25,27],[30,29],[35,15],[40,16],[45,10],[50,16],[55,11],[60,9],[65,11],[70,3],[75,6],[80,5],[85,1],[90,8],[95,2],[100,3],[105,3],[115,2],[120,3],[125,2],[130,2],[135,4],[140,1],[145,2],[150,3],[155,2],[165,4],[170,1],[180,1],[185,3],[190,2],[200,2],[215,1],[225,2],[240,1],[245,1],[260,2],[270,1],[280,3],[290,1],[295,1],[310,2],[325,1],[360,2],[365,1],[370,1],[405,1],[420,1],[495,1],[505,1],[520,1],[715,1],[730,1],[770,1],[925,1],[960,1],[995,3]]",30139.30582,1
"44249",48441012500,"Texas",32.43228912,32.40679932,-99.7594223,-99.77349854,32.41982651,-99.76473999,"1252.9",1284,99.69230769,99.07407407,9224,24202,17693,21249,38214,"60","110582","15","27645.5",2985675.917,9655101.758,6221486.769,7835463.829,14333656.45,"22413.96833","41031384.72","[[0,80],[5,224],[10,320],[15,300],[20,194],[25,64],[30,19],[35,15],[40,10],[45,17],[50,6],[55,2],[60,4],[70,2],[75,3],[90,3],[95,2],[110,1],[115,1],[120,2],[125,1],[145,1],[155,1],[175,1],[215,1],[230,1],[290,1],[365,1],[370,1],[420,1],[475,1],[480,1],[655,1],[995,2]]",19953.00635,0
"44250",48441012600,"Texas",32.4323616,32.41186142,-99.76612854,-99.78575134,32.42380905,-99.77519226,"1252.9",1280,99.92283951,98.84169884,9619,24171,23807,26136,34069,"75","117802","18.75","29450.5",3122051.807,9661185.745,8376394.433,9501012.267,12738267.38,"27490.71992","43398911.63","[[0,27],[5,101],[10,246],[15,329],[20,286],[25,126],[30,51],[35,32],[40,19],[45,15],[50,10],[55,6],[60,3],[65,3],[70,3],[75,1],[80,1],[90,2],[95,2],[100,1],[105,1],[110,1],[125,1],[140,1],[145,1],[165,2],[180,1],[185,1],[200,1],[220,1],[235,1],[245,1],[265,1],[370,1],[740,1]]",21104.3026,2
